maximum.arity,number.of.predicates,number.of.variables,domain.size,number.of.facts,universe.size,Propagating evidence,Cycle breaking,instance,Grounding,number.of.independent.pairs,Total time,Compiling BDD,answer,proportion.probabilistic,maximum.number.of.nodes
2,8,4,200,10000,200600,0.0000,0.0001,2,0.0015,16,1.8890,0.0025,0.2,0.25,2
2,8,8,200,100000,200600,0.0000,,5,0.3029,20,20.6712,,,0.25,8
3,8,4,200,10000,40080200,0.0000,0.0000,0,0.0014,27,2.4930,0.0022,1,0.5,2
3,4,4,100,10000,2020000,0.0000,0.0001,2,0.0015,1,2.3679,0.0025,0.1,0.5,4
2,8,8,400,1000,960800,0.0000,0.0001,7,0.0014,12,0.2230,0.0026,0.9,0.75,2
3,4,4,200,100000,16080000,0.0000,0.0000,2,0.0033,1,22.4130,0.0021,1,0.5,4
1,8,4,400,2400.0,3200,0.0000,,8,0.7093,10,1.1289,,,0.75,8
3,4,4,400,10000,128320000,0.0000,0.0001,2,0.0034,1,3.3262,0.0025,0.5,0.25,4
3,8,2,400,100000,192480800,0.0001,0.0002,2,0.0158,28,35.4799,0.0084,0.1,0.5,2
2,8,2,400,100000,322400,0.0000,0.0000,6,0.0016,26,30.3320,0.0024,1,0.5,8
2,8,8,100,22875.0,30500,0.0000,0.0000,0,0.0013,12,8.8661,0.0017,1,0.75,2
2,8,2,200,100000,160800,0.0000,0.0000,9,0.0012,26,30.0763,0.0027,1,0.5,8
2,8,8,400,100000,1280000,0.0000,,8,0.6240,4,32.4604,,,0.75,8
3,8,4,400,10000,128481200,0.0000,0.0000,9,0.0048,27,2.8271,0.0023,1,0.25,2
3,8,8,100,100000,3030200,0.0001,0.0001,5,0.0030,17,39.0601,0.0027,0.7,0.75,4
2,8,2,400,10000,482000,0.0000,0.0001,7,0.0014,27,2.8577,0.0016,0.5,0.75,2
3,8,2,200,100000,40120000,0.0000,0.0002,2,0.0021,23,38.0908,0.0034,0.2,0.75,4
3,8,4,200,1000,16120600,0.0000,0.0001,7,0.0010,27,0.3247,0.0028,0.2,0.75,2
3,8,4,100,10000,2010500,0.0000,0.0002,5,0.0024,21,4.1031,0.0044,0.6,0.75,2
3,4,4,200,100000,24000200,0.0000,0.0000,3,0.0021,1,42.5278,0.0026,1,0.75,4
2,8,4,100,15450.0,20600,0.0000,0.0001,0,0.0016,9,5.5046,0.0026,0.6,0.75,8
3,8,8,400,1000,256001600,0.0000,,5,0.0050,15,0.3257,,,0.75,4
1,8,8,100,600.0,800,0.0000,,7,0.0035,22,0.1528,,,0.75,8
2,8,8,400,100000,801200,0.0001,,5,0.3552,20,36.2758,,,0.75,8
2,8,4,200,1000,280200,0.0000,0.0001,4,0.0023,9,0.3228,0.0068,0.5,0.75,8
2,8,4,200,10000,200600,0.0000,,9,54.9481,9,57.9895,,,0.25,8
3,4,4,200,10000,8080200,0.0000,,8,57.0034,6,60.0008,,,0.5,8
2,8,8,100,10000,30500,0.0000,0.0001,6,0.0021,12,3.3834,0.0065,0.7,0.5,2
2,8,4,200,10000,121000,0.0000,0.0000,8,0.0013,9,3.0397,0.0023,1,0.5,8
3,4,4,100,10000,3000100,0.0000,0.0003,3,0.0057,1,4.0873,0.0032,0.28,0.75,4
3,8,8,400,100000,192321200,0.0000,0.0000,3,0.0016,15,36.7431,0.0023,1,0.25,4
1,8,2,400,2400.0,3200,0.0000,0.0004,3,0.0154,6,0.5719,0.0031,0.943,0.25,8
3,8,2,400,1000,128481200,0.0000,0.0001,2,0.0011,15,0.2892,0.0030,0.7,0.75,4
2,8,2,100,1000,50300,0.0000,0.0001,7,0.0016,19,0.2695,0.0041,0.9,0.5,2
2,8,8,400,100000,482000,0.0001,,0,0.1715,1,34.6669,,,0.5,2
3,8,2,100,100000,4020200,0.0000,0.0000,0,0.0021,23,38.4040,0.0028,1,0.25,4
3,8,2,200,10000,24160200,0.0000,0.0000,1,0.0019,22,3.3252,0.0028,1,0.25,2
3,8,2,100,100000,3020300,0.0001,0.0002,1,0.0033,23,49.3011,0.0041,0.3,0.75,4
2,4,4,100,15150.0,20200,0.0003,0.0000,4,0.0095,0,5.0225,0.0030,1,0.25,2
3,8,2,100,10000,4010300,0.0000,0.0001,6,0.0018,8,4.2392,0.0021,1,0.75,4
3,4,4,100,1000,2010100,0.0002,0.0000,6,0.0048,6,0.4227,0.0032,1,0.25,8
1,8,8,400,2400.0,3200,0.0000,,9,0.0052,20,0.7666,,,0.5,8
3,8,4,200,100000,24120400,0.0000,0.0001,4,0.0027,15,35.8368,0.0043,1,0.25,4
3,8,2,100,1000,3030200,0.0001,0.0000,2,0.0045,28,0.5202,0.0065,1,0.5,2
