maximum.number.of.nodes,Clark's completion,Transform output,Propagating evidence,number.of.predicates,instance,Total time,maximum.arity,number.of.independent.pairs,domain.size,proportion.probabilistic,Solver call,Grounding,Transform input,Cycle breaking,universe.size,number.of.facts,number.of.variables,answer
2,0.0000,,0.0000,4,2,19.3197,2,0,400,0.25,,0.0010,,0.0000,480400,100000,4,1
4,0.0000,,0.0000,8,2,20.5748,3,8,400,0.25,,0.0015,,0.0000,192161600,100000,2,1
2,0.0000,0.0000,0.0000,8,5,2.4208,3,21,200,0.5,0.0177,0.0016,0.0002,0.0001,16041000,10000,4,0.6
2,0.0000,0.0000,0.0000,8,6,2.3641,2,16,200,0.75,0.0163,0.0013,0.0001,0.0001,200600,10000,4,0.5
8,0.0000,,0.0000,4,6,19.3804,2,4,200,0.5,,0.0015,,0.0000,120200,90150.0,4,1
8,0.0000,,0.0000,8,8,0.1928,2,4,200,0.25,,0.0014,,0.0000,320000,1000,8,1
4,0.0000,,0.0000,4,4,0.2273,3,1,200,0.5,,0.0013,,0.0000,16040200,1000,8,1
2,0.0000,,0.0000,8,2,0.1826,2,19,200,0.25,,0.0025,,0.0000,200600,1000,2,1
2,0.0000,0.0002,0.0000,8,6,18.0752,3,21,200,0.75,0.0269,0.0014,0.0007,0.0001,24080600,100000,4,0.5
4,0.0000,0.0002,0.0000,8,1,0.1839,3,23,200,0.75,0.0350,0.0010,0.0006,0.0001,24080600,1000,2,0.2
4,0.0000,0.0000,0.0000,2,3,0.1659,3,1,100,0.75,0.0126,0.0009,0.0001,0.0001,1010000,1000,2,0.4
4,0.0000,,0.0000,8,8,0.1165,2,17,100,0.75,,0.0017,,0.0000,40400,1000,2,1
8,0.0000,0.0000,0.0000,8,7,0.1597,1,10,200,0.5,0.0124,0.0025,0.0002,0.0002,1600,1200.0,4,0.307
2,0.0000,,0.0000,8,3,20.7539,3,27,400,0.5,,0.0010,,0.0000,256161200,100000,4,1
4,0.0000,,0.0001,8,9,38.1903,3,17,100,0.25,,0.0083,,0.0000,3010400,100000,8,1
8,,,0.0000,8,8,0.1510,1,15,100,0.75,,0.0034,,,800,600.0,8,
